frame,tNs,minDistNm,nInside1nm,U_pep_His,U_tot,theta,q_His
115,11500,0.45333441,1,5.11915374,-60.63942928,0.50000000,0.50000000
116,11600,0.58164121,1,3.86192846,-68.06948680,0.50000000,0.50000000
117,11700,0.81015934,1,2.77105248,-64.13675286,0.50000000,0.50000000
118,11800,0.66620776,1,3.08878542,-70.97565121,0.50000000,0.50000000
119,11900,0.69989067,1,3.61747788,-62.79416380,0.50000000,0.50000000
120,12000,0.71755156,1,2.81839357,-65.92389566,0.50000000,0.50000000
121,12100,0.67361996,1,3.76655337,-66.59371061,0.50000000,0.50000000
122,12200,0.80017093,1,2.51485170,-58.16839629,0.50000000,0.50000000
123,12300,0.54098581,1,4.67825210,-65.97522578,0.50000000,0.50000000
124,12400,0.75991244,1,2.87954289,-75.69672310,0.50000000,0.50000000
125,12500,0.56660824,1,4.25576648,-57.90121670,0.50000000,0.50000000
126,12600,0.76589365,2,3.14628483,-66.89643477,0.50000000,0.50000000
127,12700,0.68775684,1,3.67615159,-52.02010482,0.50000000,0.50000000
128,12800,0.72451693,2,3.13474086,-64.06677762,0.50000000,0.50000000
129,12900,0.70570565,1,3.65692296,-51.21339003,0.50000000,0.50000000
130,13000,0.74944894,2,3.03274283,-89.37499391,0.50000000,0.50000000
131,13100,0.39760976,1,6.69737844,-51.03395468,0.50000000,0.50000000
132,13200,0.73980587,1,2.97435843,-80.40718176,0.50000000,0.50000000
133,13300,0.52086049,1,4.83772505,-50.64458568,0.50000000,0.50000000
134,13400,0.65201600,1,3.38979207,-84.00079784,0.50000000,0.50000000
135,13500,0.78610585,1,2.94207405,-78.57411167,0.50000000,0.50000000
136,13600,0.79510020,1,2.83192951,-60.56052254,0.50000000,0.50000000
137,13700,0.61669796,1,3.93280931,-67.42038697,0.50000000,0.50000000
138,13800,0.78942130,1,2.60686943,-57.22204824,0.50000000,0.50000000
139,13900,0.70608097,1,3.43698129,-76.50141806,0.50000000,0.50000000
140,14000,0.68646792,1,2.80342261,-56.86125587,0.50000000,0.50000000
141,14100,0.73367048,1,3.77995530,-64.12765815,0.50000000,0.50000000
142,14200,0.76512860,1,2.37331351,-46.20265579,0.50000000,0.50000000
143,14300,0.67882256,1,3.81508078,-95.81659313,0.50000000,0.50000000
144,14400,0.70150245,1,2.63714673,-51.39717002,0.50000000,0.50000000
145,14500,0.67935576,1,3.68162626,-91.18821346,0.50000000,0.50000000
146,14600,0.67001487,1,3.08552268,-90.53258576,0.50000000,0.50000000
147,14700,0.72828520,1,3.09444911,-51.99066919,0.50000000,0.50000000
