frame,tNs,minDistNm,nInside1nm,U_pep_His,U_tot,theta,q_His
137,13700,0.77140507,1,9.12600267,-232.57698986,0.50000000,0.50000000
138,13800,1.03140700,0,7.12487880,-188.11171073,0.50000000,0.50000000
139,13900,0.83022725,1,8.80873298,-327.28086173,0.50000000,0.50000000
140,14000,1.03270989,0,6.54400532,-236.37043832,0.50000000,0.50000000
141,14100,0.79711872,1,10.31212238,-231.06247016,0.50000000,0.50000000
142,14200,1.08834626,0,5.58699298,-208.25590513,0.50000000,0.50000000
143,14300,0.80778922,1,10.18922108,-340.63642094,0.50000000,0.50000000
144,14400,0.99498112,1,6.51102188,-187.01475268,0.50000000,0.50000000
145,14500,0.77963073,1,9.85310632,-222.05950349,0.50000000,0.50000000
146,14600,0.90496578,1,7.77407076,-331.84854934,0.50000000,0.50000000
147,14700,0.83529869,1,9.03389676,-199.77933532,0.50000000,0.50000000
148,14800,1.00508408,0,7.48081942,-220.10011915,0.50000000,0.50000000
149,14900,0.71080521,1,10.35614682,-203.34639776,0.50000000,0.50000000
150,15000,1.06854616,0,6.75259476,-217.14402885,0.50000000,0.50000000
151,15100,0.73584696,1,10.08059611,-250.47334876,0.50000000,0.50000000
152,15200,1.13267183,0,6.62376267,-193.75727221,0.50000000,0.50000000
153,15300,0.78959133,1,9.63657339,-333.08882483,0.50000000,0.50000000
154,15400,1.12511462,0,7.00739995,-204.61689766,0.50000000,0.50000000
155,15500,0.88131793,1,8.05052274,-417.44010718,0.50000000,0.50000000
156,15600,0.94125205,1,8.53449317,-225.30082465,0.50000000,0.50000000
157,15700,1.03437355,0,6.29576490,-194.52733581,0.50000000,0.50000000
158,15800,0.64008742,1,11.97589965,-202.20465584,0.50000000,0.50000000
159,15900,0.98637670,1,7.04038806,-237.46167428,0.50000000,0.50000000
160,16000,0.86311438,1,10.07545734,-259.24990139,0.50000000,0.50000000
161,16100,0.98882206,1,6.70351242,-242.35277577,0.50000000,0.50000000
162,16200,0.67320331,1,12.34797323,-220.21596854,0.50000000,0.50000000
163,16300,0.94044442,1,7.22681844,-335.01822396,0.50000000,0.50000000
164,16400,0.74994010,1,10.81629596,-203.03747075,0.50000000,0.50000000
165,16500,1.02994075,0,6.84717727,-218.05765133,0.50000000,0.50000000
166,16600,0.61577895,1,12.79319237,-234.60332191,0.50000000,0.50000000
167,16700,1.03934951,0,6.78199215,-196.54183559,0.50000000,0.50000000
168,16800,0.77925006,1,10.73297226,-330.47318647,0.50000000,0.50000000
169,16900,0.98858950,1,6.48801411,-188.40325030,0.50000000,0.50000000
170,17000,0.76379666,1,10.82654580,-305.44977256,0.50000000,0.50000000
171,17100,1.03226362,0,6.53806853,-204.97248946,0.50000000,0.50000000
172,17200,0.82486145,1,9.68219713,-341.86935713,0.50000000,0.50000000
173,17300,0.98504403,1,6.61063653,-228.99490778,0.50000000,0.50000000
174,17400,0.78323706,1,10.53151222,-199.81417621,0.50000000,0.50000000
175,17500,1.01567651,0,6.43309029,-236.08626122,0.50000000,0.50000000
176,17600,0.65698147,1,12.12243963,-224.12780069,0.50000000,0.50000000
177,17700,1.02410325,0,6.48082985,-221.81695792,0.50000000,0.50000000
178,17800,0.66813464,1,11.92960071,-233.70059125,0.50000000,0.50000000
179,17900,1.05685935,0,5.89437832,-183.23104996,0.50000000,0.50000000
180,18000,0.76539518,1,10.67262838,-247.10868532,0.50000000,0.50000000
